Gene,Normal Range,Target Value,Abnormality
ENSG00000198804,"(-2785.304548162432, 27262.146811451737)",27545.104,Significantly More
ENSG00000198886,"(-2292.142092291101, 16481.343198657876)",24991.7955,Significantly More
ENSG00000198712,"(-2497.340981841231, 21254.157373571245)",30836.3022,Significantly More
ENSG00000198938,"(-3131.7249888800707, 24057.577649662133)",27179.5975,Significantly More
ENSG00000210082,"(-1668.0723716269395, 15022.178773327087)",18584.2004,Significantly More
ENSG00000198899,"(-2005.8047981069276, 16812.594215239846)",19314.1762,Significantly More
ENSG00000198727,"(-931.7276539287304, 9268.054437079298)",17071.3739,Significantly More
ENSG00000184009,"(564.1905983906979, 2924.386193250659)",7627.888,Significantly More
ENSG00000111640,"(634.1148480283388, 1868.8601593653593)",5027.3029,Significantly More
ENSG00000198888,"(-1336.8565253773659, 8441.163489600109)",13680.4237,Significantly More
ENSG00000161016,"(287.76848634643056, 2933.075240593472)",4490.3535,Significantly More
ENSG00000198786,"(-392.82800047820297, 4030.917839051497)",5518.7281,Significantly More
ENSG00000087086,"(-374.6932713540757, 3937.3818955080333)",12896.3744,Significantly More
ENSG00000102837,"(-745.3020103489637, 1316.312319267481)",3246.9139,Significantly More
ENSG00000070756,"(94.27133966613991, 512.9888350101949)",539.1257,Significantly More
ENSG00000197956,"(156.5428174583567, 4683.350429669544)",4792.3799,Significantly More
ENSG00000150991,"(1316.550016532411, 3887.6822928176844)",564.4688,Significantly Less
ENSG00000205542,"(359.5001455583822, 3138.545165669183)",4794.5074,Significantly More
ENSG00000089157,"(88.24922631150798, 1854.2653117362236)",2277.6062,Significantly More
ENSG00000149925,"(863.9190653358544, 2256.93828481332)",79.6056,Significantly Less
ENSG00000086548,"(-555.9627977364596, 1371.5838210847428)",1879.7954,Significantly More
ENSG00000034510,"(-30.85309606913802, 3643.373532614859)",9894.3485,Significantly More
ENSG00000096384,"(60.15879042706422, 334.94221962584504)",1440.2383,Significantly More
ENSG00000211459,"(-576.259723680859, 3353.8730366219997)",3529.907,Significantly More
ENSG00000172757,"(823.9563856609723, 2345.51377030428)",642.9033,Significantly Less
ENSG00000111057,"(77.11185575711562, 790.4641240362466)",2280.2101,Significantly More
ENSG00000231500,"(-461.19029783826215, 2465.63734225283)",2744.9221,Significantly More
ENSG00000212907,"(-690.5129833466622, 7968.5308660271985)",12127.7523,Significantly More
ENSG00000197746,"(1086.6772153657519, 3308.796073719983)",818.4475,Significantly Less
ENSG00000164924,"(453.23526013295395, 1134.5263856922998)",326.9497,Significantly Less
ENSG00000142534,"(135.23511949359317, 2162.78472323038)",4313.8815,Significantly More
ENSG00000185624,"(80.94347951761137, 538.2141223567769)",590.9122,Significantly More
ENSG00000119888,"(264.5042257001942, 1680.306421018118)",1786.1937,Significantly More
ENSG00000139644,"(911.0238513995644, 2795.345712110591)",722.2489,Significantly Less
ENSG00000179218,"(-40.3223339477816, 880.5016375142391)",1050.006,Significantly More
ENSG00000169100,"(248.52700483397155, 1202.2359339067452)",3084.2413,Significantly More
ENSG00000110321,"(810.5858338505507, 1833.481319350739)",270.0117,Significantly Less
ENSG00000166598,"(2.0241933528415075, 344.8993507065214)",725.7356,Significantly More
ENSG00000087460,"(198.48495349817895, 512.6555350793087)",100.3593,Significantly Less
ENSG00000177600,"(412.8980157942883, 1893.7517525407943)",2102.0743,Significantly More
ENSG00000255508,"(89.20852710729253, 483.0534186087559)",1.3923,Significantly Less
ENSG00000137818,"(129.55915452464944, 1004.0371789771929)",1939.9603,Significantly More
ENSG00000147403,"(95.33641502835974, 1002.9107108902841)",1238.141,Significantly More
ENSG00000160180,"(-1252.157122712273, 4571.535989486569)",6250.4397,Significantly More
ENSG00000115053,"(32.62375452245979, 244.38175535494068)",280.417,Significantly More
ENSG00000127022,"(50.49176816628641, 160.61601798078956)",255.5169,Significantly More
ENSG00000105193,"(29.254068569562946, 1501.916791296248)",1701.0591,Significantly More
ENSG00000140988,"(91.24944606267394, 569.131989647942)",2801.8187,Significantly More
ENSG00000142676,"(291.3653210107054, 952.5478463562949)",1031.246,Significantly More
ENSG00000170315,"(639.2658995132767, 1765.0959479217352)",357.8672,Significantly Less
ENSG00000258017,"(45.80670638539141, 1192.2634263971481)",0.1642,Significantly Less
ENSG00000145592,"(322.69313964595636, 1246.8387748661812)",232.27,Significantly Less
ENSG00000142541,"(31.143414497932326, 810.4415335774167)",2178.2156,Significantly More
ENSG00000196230,"(-22.279167343168922, 321.6699229410626)",625.9655,Significantly More
ENSG00000044574,"(-1.2433320219651591, 222.61826373843178)",466.4268,Significantly More
ENSG00000167553,"(173.77405561270405, 1098.51452725338)",121.3691,Significantly Less
ENSG00000108518,"(343.7850442714504, 1351.3967715237072)",1838.4691,Significantly More
ENSG00000171858,"(-26.62361862705518, 1325.4284155610808)",2380.6634,Significantly More
ENSG00000213719,"(130.30344297251452, 548.1081557094445)",946.2424,Significantly More
ENSG00000176153,"(-248.02815620640808, 898.2162938471472)",1278.3806,Significantly More
ENSG00000182774,"(206.8883449715047, 1212.992275358271)",12.0106,Significantly Less
ENSG00000158710,"(138.43207414264276, 552.7053877329558)",915.8097,Significantly More
ENSG00000115677,"(340.361221551804, 1216.8720798223248)",148.1806,Significantly Less
ENSG00000148346,"(-470.90167045691277, 862.2024089996803)",2755.2838,Significantly More
ENSG00000264772,"(25.171797811727146, 150.57866728018092)",0.0331,Significantly Less
ENSG00000144381,"(14.494318697988192, 154.67192010400822)",335.243,Significantly More
ENSG00000162244,"(42.621760982129956, 942.0152313163587)",1124.2663,Significantly More
ENSG00000196531,"(176.30334493956542, 620.9715583330419)",170.3744,Significantly Less
ENSG00000198755,"(5.190591644281142, 728.9972157846519)",1296.6418,Significantly More
ENSG00000178209,"(-5.687412594441398, 74.5253644378597)",160.0087,Significantly More
ENSG00000157557,"(-6.333293559875983, 142.7354546843024)",330.086,Significantly More
ENSG00000064651,"(3.359748047634973, 85.85208229117856)",221.6839,Significantly More
ENSG00000166913,"(273.7397462511001, 549.8884593293708)",155.1317,Significantly Less
ENSG00000188229,"(85.10774621917614, 405.80463786958063)",1161.5713,Significantly More
ENSG00000084234,"(517.314451691147, 1758.7511932648667)",177.0057,Significantly Less
ENSG00000084207,"(143.31866648788022, 511.6183289739747)",1324.1614,Significantly More
ENSG00000148303,"(53.92179845180419, 480.9673484343083)",1796.1628,Significantly More
ENSG00000099194,"(-51.83217442799548, 86.88817587415349)",764.569,Significantly More
ENSG00000118705,"(105.58685284750953, 476.8576238512341)",612.8134,Significantly More
ENSG00000111669,"(240.75100227641673, 626.3341481106663)",1116.81,Significantly More
ENSG00000250644,"(96.05190274887912, 798.789400380784)",0.3136,Significantly Less
ENSG00000161011,"(231.61737991742496, 751.2052844666631)",131.0006,Significantly Less
